date,rho,rho_err,PA,PA_err
2001-02-14,63.9,2.3,76.2,1.5
2007-03-25,140.4,0.9,278.84,0.28
2008-01-15,128.6,1.2,276.3,0.8
2008-04-1,125.2,0.8,275.3,1.0
2008-04-27,124.7,0.6,274.2,0.6
2009-06-29,83.8,1.5,266.1,1.4
2010-01-09,63.3,1.3,258.0,1.8
2012-04-12,65.3,1.8,123.4,2.8
2013-04-28,100.8,0.5,108.4,1.9
2013-04-28,101.0,1.4,110.0,2.2
2014-05-09,115.8,0.6,102.0,0.3
2014-05-09,116.8,0.8,101.2,0.4
